Name,Genre,Publisher,Year,Global_Sales,Decade,FranchiseTag
cory in the house,action,disney interactive studios,2007,0.12,2000,0
cosmetic paradise make no kiseki,misc,global a entertainment,2008,0.01,2000,0
cosmic ark,shooter,imagic,1981,1.05,1980,0
cosmic family,misc,ubisoft,2007,0.08,2000,0
cosmos chaos,misc,mentor interactive,2010,0.07,2010,0
cossacks european wars,strategy,strategy first,2001,0.03,2000,0
countdown the game,puzzle,mindscape,2009,0.2,2000,0
countdown vampires,adventure,namco bandai games,1999,0.04,1990,0
counter force,shooter,505 games,2007,0.05,2000,0
counterstrike,shooter,microsoft game studios,2003,1.11,2000,0
counterstrike source,shooter,vivendi games,2004,0.09,2000,0
country dance,misc,funbox media,2011,0.68,2010,0
country dance 2,misc,gamemill entertainment,2011,0.46,2010,1
country dance all stars,action,gamemill entertainment,2012,0.17,2010,0
courier crisis,racing,bmg interactive entertainment,1997,0.15,1990,0
coven and labyrinth of refrain,action,nippon ichi software,2016,0.01,2010,0
covert ops nuclear dawn,action,sony computer entertainment,2000,0.24,2000,0
crackdown,shooter,microsoft game studios,2007,1.75,2000,0
crackdown 2,shooter,microsoft game studios,2010,1.12,2010,1
cradle of rome,puzzle,rising star games,2008,0.25,2000,0
crafting mama,simulation,505 games,2010,0.67,2010,0
cranium kabookii,misc,ubisoft,2007,0.14,2000,0
crash  spyro superpack,platform,vivendi games,2005,0.19,2000,0
crash bandicoot,platform,sony computer entertainment,1996,6.82,1990,0
crash bandicoot 2 cortex strikes back,platform,sony computer entertainment,1997,7.58,1990,1
crash bandicoot 2 ntranced,platform,vivendi games,2003,1.36,2000,1
crash bandicoot 3 warped,platform,sony computer entertainment,1998,7.13,1990,1
crash bandicoot purple riptos rampage,platform,vivendi games,2004,0.64,2000,0
crash bandicoot the huge adventure,platform,universal interactive,2002,1.73,2000,0
crash bandicoot the wrath of cortex,platform,universal interactive,2001,7.24,2000,0
crash bash,misc,sony computer entertainment,2000,3.39,2000,0
crash boom bang,misc,vivendi games,2006,0.09,2000,0
crash city mayhem,racing,thq,2004,0.93,2000,0
crash mind over mutant,platform,vivendi games,2008,2.3,2000,0
crash n burn,racing,eidos interactive,2004,0.3,2000,0
crash nitro kart,racing,vivendi games,2003,2.98,2000,0
crash of the titans,action,vivendi games,2007,2.32,2000,0
crash superpack crash bandicoot 2 ntranced  crash nitro kart,misc,vivendi games,2005,0.12,2000,1
crash tag team racing,racing,vivendi games,2005,1.09,2000,0
crash team racing,racing,sony computer entertainment,1999,4.79,1990,0
crash time autobahn pusuit,racing,rtl,2008,0.03,2000,0
crash twinsanity,platform,vivendi games,2004,0.79,2000,0
crayola colorful journey,misc,crave entertainment,2009,0.08,2000,0
crayola treasure adventures,puzzle,ignition entertainment,2007,0.47,2000,0
crayon shinchan arashi o yobu enji,platform,namco bandai games,1993,0.46,1990,0
crayon shinchan arashi o yobu kasukabe eiga stars,adventure,namco bandai games,2014,0.06,2010,0
crayon shinchan densetsu o yobu omake no to shukkugaan,action,banpresto,2006,0.07,2000,0
crayon shinchan obaka daininden  susume kasukabe ninja tai,action,namco bandai games,2010,0.07,2010,0
crayon shinchan shokkugan densetsu o yobu omake daiketsusen,action,namco bandai games,2010,0.09,2010,0
crayon shinchan uchuu de achoo yuujou no obakarate,action,namco bandai games,2011,0.02,2010,0
crazy chicken atlantis quest,platform,phenomedia,2007,0.05,2000,0
crazy chicken pharaohs treasure,puzzle,phenomedia,2007,0.06,2000,0
crazy chicken star karts,racing,phenomedia,2008,0.03,2000,0
crazy chicken tales,action,conspiracy entertainment,2009,0.06,2000,0
crazy climber,action,atari,1981,0.22,1980,0
crazy machines,puzzle,dtp entertainment,2008,0.06,2000,0
crazy taxi,racing,acclaim entertainment,2001,4.82,2000,0
crazy taxi 2,racing,sega,2001,0.07,2000,1
crazy taxi 3 high roller,racing,sega,2002,0.2,2000,1
crazy taxi catch a ride,racing,thq,2003,0.3,2000,0
crazy taxi fare wars,racing,sega,2007,0.47,2000,0
create,action,electronic arts,2010,0.62,2010,0
creeper world 3 arc eternal,strategy,namco bandai games,2009,0.1,2000,1
crime crackers,roleplaying,sony computer entertainment,1994,0.1,1990,0
crime killer,racing,interplay,1998,0.12,1990,0
crime lab body of evidence,adventure,city interactive,2010,0.07,2010,0
crime life gang wars,action,konami digital entertainment,2005,0.05,2000,0
crime scene,adventure,nobilis,2009,0.02,2000,0
criminal girls 2,roleplaying,nippon ichi software,2015,0.03,2010,1
criminal girls invite only,roleplaying,nippon ichi software,2013,0.19,2010,0
crimson gem saga,roleplaying,sega,2008,0.06,2000,0
crimson sea,action,tecmo koei,2002,0.09,2000,0
crimson sea 2,action,tecmo koei,2004,0.07,2000,1
crimson skies high road to revenge,simulation,microsoft game studios,2003,0.87,2000,0
crimson tears,roleplaying,capcom,2004,0.03,2000,0
crisis core final fantasy vii,roleplaying,square enix,2007,3.19,2000,0
critical depth,action,gt interactive,1997,0.23,1990,0
criticom,fighting,vic tokai,1996,0.12,1990,0
croc 2,platform,fox interactive,1999,0.73,1990,1
croc legend of the gobbos,platform,fox interactive,1997,3.56,1990,0
cross  channel,adventure,cyberfront,2010,0.02,2010,0
cross ange tenshi to ryuu no rondo tr,action,namco bandai games,2015,0.02,2010,0
cross channel in memory of all people,adventure,cyberfront,2011,0.02,2010,0
cross edge,roleplaying,nippon ichi software,2008,0.23,2000,0
cross edge dash,roleplaying,compile heart,2009,0.01,2000,0
cross treasures,roleplaying,square enix,2009,0.02,2000,0
crossroad crisis,puzzle,success,2000,0.01,2000,0
crosswords,puzzle,deep silver,2008,0.55,2000,0
crouching tiger hidden dragon,action,ubisoft,2003,0.17,2000,0
cruise ship vacation games,puzzle,avanquest,2009,0.14,2000,0
cruisn,racing,midway games,2007,0.12,2000,0
cruisn exotica,racing,midway games,2000,0.21,2000,0
cruisn usa,racing,nintendo,1996,1.74,1990,0
cruisn world,racing,nintendo,1998,0.64,1990,0
crusader no remorse,adventure,electronic arts,1996,0.05,1990,0
crusaders of might and magic,roleplaying,3do,1999,0.25,1990,0
crush,puzzle,sega,2007,0.08,2000,0
crush3d,platform,sega,2012,0.12,2010,0
crushed baseball,sports,summitsoft,2004,0.04,2000,0
crypt killer,shooter,konami digital entertainment,1997,0.04,1990,0
crysis,shooter,electronic arts,2007,0.72,2000,0
crysis 2,action,electronic arts,2011,3.39,2010,1
crysis 3,shooter,electronic arts,2013,2.46,2010,1
crysis maximum edition,shooter,electronic arts,2009,0.09,2000,0
crysis warhead,shooter,electronic arts,2008,0.02,2000,0
crystal castles,action,atari,1983,0.77,1980,0
csi 3 dimensions of murder,adventure,ubisoft,2007,0.14,2000,1
csi crime scene investigation,adventure,ubisoft,2004,0.12,2000,0
csi dark motives,adventure,ubisoft,2007,0.07,2000,0
csi deadly intent,adventure,ubisoft,2009,0.5,2000,0
csi deadly intent  the hidden cases,adventure,ubisoft,2009,0.35,2000,0
csi fatal conspiracy,adventure,ubisoft,2010,0.62,2010,0
csi hard evidence,adventure,ubisoft,2008,0.99,2000,0
csi unsolved,adventure,ubisoft,2010,0.2,2010,0
ct special forces,action,lsp games,2002,0.03,2000,0
ct special forces 2 back in the trenches,shooter,lsp games,2003,0.01,2000,1
cube,puzzle,d3publisher,2007,0.02,2000,0
cubic ninja,platform,ubisoft,2011,0.1,2010,0
cubivore survival of the fittest,adventure,nintendo,2002,0.17,2000,0
culdcept,misc,nintendo,2012,0.19,2010,0
culdcept ds,strategy,sega,2008,0.1,2000,0
culdcept revolt,strategy,nintendo,2016,0.05,2010,0
culdcept saga,roleplaying,namco bandai games,2006,0.16,2000,0
curious george,action,namco bandai games,2006,0.45999999999999996,2000,0
curse of the amsterdam diamond,puzzle,easy interactive,2012,0.02,2010,0
cursed mountain,adventure,deep silver,2009,0.22,2000,0
custers revenge,action,mystique,1981,0.82,1980,0
custom beat battle draglade 2,fighting,namco bandai games,2008,0.03,2000,1
custom drive,action,d3publisher,2012,0.02,2010,0
custom robo,roleplaying,nintendo,2004,0.37,2000,0
custom robo arena,fighting,nintendo,2006,0.17,2000,0
custom robo v2,fighting,nintendo,2000,0.39,2000,0
cut the rope,puzzle,activision,2014,0.07,2010,0
cv casting voice,adventure,namco bandai games,2014,0.02,2010,0
cy girls,action,konami digital entertainment,2004,0.04,2000,0
cyber sled,action,sony computer entertainment,1995,0.14,1990,0
cyber troopers virtualon,fighting,sega,1995,0.42,1990,0
cyber troopers virtualon marz,fighting,sega,2003,0.04,2000,0
cyberia,action,interplay,1995,0.09,1990,0
cybertiger,sports,electronic arts,1998,0.6499999999999999,1990,0
d,adventure,acclaim entertainment,1995,0.11,1990,0
d1 professional drift grand prix series,racing,yukes,2005,0.03,2000,0
da capo i  ii plus situation portable,adventure,kadokawa shoten,2010,0.04,2010,1
dagedar,action,gamemill entertainment,2011,0.09,2010,0
dai senryaku vii modern military tactics,strategy,kool kizz,2003,0.04,2000,0
dai2ji super robot taisen ,strategy,banpresto,2003,0.6,2000,0
dai2ji super robot taisen og,strategy,namco bandai games,2012,0.3,2010,0
dai2ji super robot taisen z hakaihen,strategy,banpresto,2011,0.42,2010,0
dai2ji super robot taisen z saiseihen,strategy,namco bandai games,2012,0.36,2010,0
dai3ji super robot taisen  shuuen no ginga e,strategy,banpresto,2005,0.59,2000,0
dai4ji super robot taisen,strategy,banpresto,1995,0.38,1990,0
dai4ji super robot taisen s,strategy,banpresto,1996,0.51,1990,0
daibakushou jinsei gekijou,misc,taito,1995,0.03,1990,0
daigasso band brothers,misc,nintendo,2004,0.19,2000,0
daigasso band brothers p,misc,nintendo,2013,0.18,2010,0
daikaijuu battle ultra coliseum,fighting,namco bandai games,2008,0.02,2000,0
daikaijuu battle ultra coliseum dx  ultra senshi daishuuketsu,fighting,namco bandai games,2010,0.04,2010,0
daikaijyuu monogatari,roleplaying,hudson soft,1994,0.3,1990,0
daikaijyuu monogatari ii,roleplaying,hudson soft,1996,0.12,1990,1
daisy fuentes pilates,sports,505 games,2009,0.26,2000,0
daito giken koushiki pachislot simulator 24  twentyfour,misc,paon,2008,0.01,2000,0
daito giken koushiki pachislot simulator hihouden,misc,daito,2006,0.11,2000,0
daito giken koushiki pachislot simulator hihouden  fuujirareta megami portable,misc,paon,2011,0.02,2010,0
daito giken koushiki pachislot simulator hihouden  ossu banchou  yoshimune ds,misc,paon,2007,0.1,2000,0
daito giken koushiki pachislot simulator hihouden taiyou o motomeru monotachi,misc,paon corporation,2013,0.03,2010,0
daito giken koushiki pachislot simulator ossu banchou portable,misc,daito,2006,0.06,2000,0
daito giken koushiki pachislot simulator ossu misao  maguro densetsu portable,misc,paon,2010,0.02,2010,0
daito giken koushiki pachislot simulator shake ii,misc,paon,2007,0.04,2000,1
daito giken koushiki pachislot simulator shin yoshimune,misc,paon,2008,0.06,2000,0
daito giken koushiki pachislot simulator yoshimune portable,misc,daito,2006,0.03,2000,0
daito giken premium pachislot collection yoshimune,misc,daito,2006,0.03,2000,0
daiya no kuni no alice wonderful mirror world,adventure,quinrose,2013,0.01,2010,0
dakar 2 the worlds ultimate rally,racing,acclaim entertainment,2003,0.05,2000,1
damage inc pacific squadron wwii,simulation,mad catz,2012,0.07,2010,0
damnation,shooter,codemasters,2009,0.17,2000,0
danball senki,roleplaying,level 5,2011,0.39,2010,0
danball senki boost,action,level 5,2011,0.22,2010,0
dance central,misc,mtv games,2010,3.19,2010,0
dance central 2,misc,microsoft game studios,2011,2.04,2010,1
dance central 3,misc,microsoft game studios,2012,0.83,2010,1
dance central spotlight,misc,microsoft game studios,2014,0.19,2010,0
dance dance revolution 2nd remix,simulation,konami digital entertainment,1999,0.96,1990,0
dance dance revolution 3rdmix,simulation,konami digital entertainment,2000,0.36,2000,0
dance dance revolution disney channel edition,simulation,konami digital entertainment,2008,0.24,2000,0
dance dance revolution disney grooves,simulation,konami digital entertainment,2009,0.18,2000,0
dance dance revolution disney mix,simulation,konami digital entertainment,2000,0.04,2000,0
dance dance revolution extra mix,simulation,konami digital entertainment,2001,0.02,2000,0
dance dance revolution extreme,simulation,konami digital entertainment,2004,2.13,2000,0
dance dance revolution extreme 2,simulation,konami digital entertainment,2005,1.14,2000,1
dance dance revolution hottest party,simulation,konami digital entertainment,2007,2.08,2000,0
dance dance revolution hottest party 2,simulation,konami digital entertainment,2008,1.6,2000,1
dance dance revolution hottest party 3,simulation,konami digital entertainment,2009,0.45,2000,1
dance dance revolution hottest party 5,misc,konami digital entertainment,2011,0.03,2010,1
dance dance revolution japan,simulation,konami digital entertainment,1999,1.35,1990,0
dance dance revolution mario mix,misc,nintendo,2005,0.47,2000,0
dance dance revolution mario mix jp sales,simulation,nintendo,2005,0.06,2000,0
dance dance revolution north america,simulation,konami digital entertainment,2001,0.15,2000,0
dance dance revolution supernova,simulation,konami digital entertainment,2006,1.04,2000,0
dance dance revolution supernova 2,simulation,konami digital entertainment,2007,0.79,2000,1
dance dance revolution ultramix,simulation,konami digital entertainment,2003,0.54,2000,0
dance dance revolution ultramix 2,simulation,konami digital entertainment,2004,0.42,2000,1
dance dance revolution ultramix 3,simulation,konami digital entertainment,2005,0.38,2000,1
dance dance revolution universe,simulation,konami digital entertainment,2007,0.32,2000,0
dance dance revolution universe 2,simulation,konami digital entertainment,2007,0.5,2000,1
dance dance revolution universe 3,simulation,konami digital entertainment,2008,0.3,2000,1
dance dance revolution x,simulation,konami digital entertainment,2008,1.75,2000,0
dance dance revolution x2,simulation,konami digital entertainment,2009,2.23,2000,0
dance factory,action,codemasters,2006,0.03,2000,0
dance its your stage,misc,dtp entertainment,2011,0.02,2010,0
dance on broadway,misc,ubisoft,2010,1.1400000000000001,2010,0
dance paradise,misc,mindscape,2010,0.12,2010,0
dance party pop hits,misc,nordic games,2009,0.39,2000,0
dance sensation,misc,majesco entertainment,2010,0.06,2010,0
dance with devils,action,unknown,2016,0.01,2010,0
dancedancerevolution,simulation,konami digital entertainment,2010,0.64,2010,0
dancemasters,misc,konami digital entertainment,2010,0.19,2010,0
dancestar party,misc,sony computer entertainment,2011,0.46,2010,0
dancing blade ii tears of eden,adventure,konami digital entertainment,1999,0.03,1990,1
dancing on ice,sports,ghostlight,2010,0.12000000000000001,2010,0
dancing with the stars,misc,activision,2007,0.4,2000,0
dancing with the stars we dance,misc,activision,2008,0.78,2000,0
danganronpa 2 goodbye despair,misc,nippon ichi software,2014,0.45,2010,1
danganronpa another episode ultra despair girls,action,nippon ichi software,2014,0.28,2010,0
danganronpa trigger happy havoc,misc,nippon ichi software,2013,0.41,2010,0
dangerous jisan to 1000nin no otomodachi yokoshima,action,namco bandai games,2012,0.08,2010,0
daniel x the ultimate power,action,thq,2010,0.08,2010,0
danny phantom the ultimate enemy,action,thq,2005,0.22,2000,0
danny phantom urban jungle,action,thq,2006,0.04,2000,0
dantes inferno,action,electronic arts,2010,2.2,2010,0
darius burst chronicle saviours,action,kadokawa games,2016,0.03,2010,0
darius gaiden,shooter,acclaim entertainment,1995,0.1,1990,0
darius ii,shooter,taito,1995,0.03,1990,1
dark angel vampire apocalypse,roleplaying,metro 3d,2001,0.09,2000,0
dark arena,shooter,thq,2002,0.04,2000,0
dark cavern,shooter,mattel interactive,1981,0.24,1980,0
dark cloud,roleplaying,sony computer entertainment,2000,1.54,2000,0
dark cloud 2,roleplaying,sony computer entertainment,2002,0.96,2000,1
dark half,roleplaying,enix corporation,1996,0.04,1990,0
dark messiah of might and magic elements,roleplaying,ubisoft,2008,0.2,2000,0
dark parables the exiled prince,puzzle,unknown,2011,0.01,2010,0
dark rift,fighting,vic tokai,1997,0.15,1990,0
dark sector,shooter,d3publisher,2008,0.95,2000,0
dark souls,roleplaying,namco bandai games,2011,3.1399999999999997,2010,0
dark souls ii,roleplaying,namco bandai games,2014,3.07,2010,1
dark souls iii,roleplaying,namco bandai games,2016,1.96,2010,1
dark summit,sports,thq,2001,0.36,2000,0
dark tales edgar allan poes the premature burial,puzzle,focus multimedia,2012,0.02,2010,0
dark void,action,capcom,2010,0.69,2010,0
darkened skye,adventure,tdk mediactive,2002,0.01,2000,0
darkest of days,shooter,phantom efx,2009,0.09,2000,0
darklight conflict,simulation,electronic arts,1997,0.04,1990,0
darksiders,action,thq,2010,1.23,2010,0
darksiders ii,action,thq,2012,2.2600000000000002,2010,1
darkspore,roleplaying,electronic arts,2011,0.12,2010,0
darkstalkers 3,fighting,capcom,1998,0.19,1990,1
darkstalkers chronicle the chaos tower,fighting,capcom,2004,0.15,2000,0
darkstalkers resurrection,fighting,capcom,2013,0.03,2010,0
darkstar one,simulation,ubisoft,2006,0.04,2000,0
darkstar one broken alliance,simulation,kalypso media,2010,0.2,2010,0
darkstone,roleplaying,electronic arts,2001,0.66,2000,0
darkwatch,shooter,ubisoft,2005,0.53,2000,0
data east arcade classics,misc,majesco entertainment,2010,0.09,2010,0
date a live arusu install,adventure,compile heart,2014,0.02,2010,0
date a live rine utopia,adventure,compile heart,2013,0.04,2010,0
datealive twin edition rio reincarnation,action,compile heart,2015,0.02,2010,0
datenshi no amai yuuwaku x kaikan phrase,adventure,furyu,2010,0.01,2010,0
dave mirra bmx challenge,sports,oxygen interactive,2006,0.14,2000,0
dave mirra freestyle bmx,sports,acclaim entertainment,2000,1.05,2000,0
dave mirra freestyle bmx 2,sports,acclaim entertainment,2001,2.05,2000,1
dave mirra freestyle bmx 3,sports,acclaim entertainment,2002,0.03,2000,1
dave mirra freestyle bmx maximum remix,sports,acclaim entertainment,2001,0.27,2000,0
davis cup tennis,sports,ubisoft,2002,0.02,2000,0
dawn of discovery,simulation,ubisoft,2009,0.72,2000,0
dawn of heroes,roleplaying,majesco entertainment,2010,0.08,2010,0
dawn of mana,roleplaying,square enix,2006,0.43,2000,0
daxter,platform,sony computer entertainment,2006,4.22,2000,0
daytona usa,racing,sega,1994,0.55,1990,0
daytona usa championship circuit edition,racing,sega,1995,0.14,1990,0
dc ii ps da capo ii plus situation,adventure,kadokawa shoten,2008,0.06,2000,1
dc iii da capo iii,adventure,kadokawa games,2013,0.03,2010,1
dc universe online,roleplaying,sony online entertainment,2011,0.76,2010,0
dcfs da capo four seasons,adventure,kadokawa shoten,2005,0.04,2000,0
dcif da capo innocent finale,adventure,sweets,2009,0.03,2000,0
ddrmax2 dance dance revolution,simulation,konami digital entertainment,2003,1.81,2000,0
de blob,platform,thq,2008,0.97,2000,0
de blob 2,platform,thq,2011,0.6599999999999999,2010,1
dead ball zone,sports,gt interactive,1998,0.04,1990,0
dead head fred,action,d3publisher,2007,0.04,2000,0
dead in the water,action,asc games,1999,0.05,1990,0
dead island,action,deep silver,2011,4.9,2010,0
dead island definitive collection,action,deep silver,2016,0.16,2010,0
dead island riptide,action,deep silver,2013,1.4100000000000001,2010,0
dead mans hand,shooter,atari,2004,0.11,2000,0
dead or alive,fighting,sony computer entertainment,1998,0.46,1990,0
dead or alive 2,fighting,tecmo koei,2000,1.1400000000000001,2000,1
dead or alive 3,fighting,microsoft game studios,2001,1.77,2000,1
dead or alive 4,fighting,tecmo koei,2005,0.47,2000,1
dead or alive 5,fighting,tecmo koei,2012,1.48,2010,1
dead or alive dimensions,fighting,ubisoft annecy,2011,0.45,2010,0
dead or alive paradise,misc,ubisoft annecy,2010,0.17,2010,0
dead or alive ultimate,fighting,tecmo koei,2004,0.5,2000,0
dead or alive xtreme 2,sports,tecmo koei,2006,0.26,2000,1
dead or alive xtreme 3 fortune,sports,tecmo koei,2016,0.05,2010,1
dead or alive xtreme 3 venus,sports,tecmo koei,2016,0.03,2010,1
dead or alive xtreme beach volleyball,sports,microsoft game studios,2003,0.59,2000,0
dead rising,action,capcom,2006,2.11,2000,0
dead rising 2,action,capcom,2010,3.02,2010,1
dead rising 2 off the record,action,capcom,2011,0.67,2010,1
dead rising 3,action,microsoft game studios,2013,1.54,2010,1
dead rising chop till you drop,action,capcom,2009,0.29,2000,0
dead space,action,electronic arts,2008,4.03,2000,0
dead space 2,shooter,electronic arts,2011,3.29,2010,1
dead space 3,action,electronic arts,2013,1.99,2010,1
dead space extraction,shooter,electronic arts,2009,0.48,2000,0
dead to rights,shooter,electronic arts,2002,2.24,2000,0
dead to rights ii,shooter,electronic arts,2005,0.31,2000,1
dead to rights reckoning,shooter,electronic arts,2005,0.13,2000,0
dead to rights retribution,shooter,namco bandai games,2010,0.49,2010,0
deadliest catch alaskan storm,sports,navarre corp,2008,0.05,2000,0
deadliest catch sea of chaos,sports,crave entertainment,2010,0.29,2010,0
deadliest warrior ancient combat,fighting,cloud imperium games corporation,2012,0.08,2010,0
deadly arts,fighting,konami digital entertainment,1998,0.04,1990,0
deadly creatures,action,thq,2009,0.23,2000,0
deadly duck,shooter,20th century fox video games,1981,0.22,1980,0
deadly premonition,action,rising star games,2010,0.42000000000000004,2010,0
deadpool,action,activision,2013,1.33,2010,0
deal or no deal,misc,mindscape,2007,3.03,2000,0
deal or no deal special edition,misc,zoo games,2010,0.04,2010,0
deal or no deal the banker is back,misc,mindscape,2008,0.2,2000,0
death by degrees,action,sony computer entertainment,2005,0.1,2000,0
death connection portable,adventure,idea factory,2011,0.01,2010,0
death jr,platform,konami digital entertainment,2005,0.19,2000,0
death jr and the science fair of doom,platform,konami digital entertainment,2007,0.08,2000,0
death jr ii root of evil,platform,konami digital entertainment,2006,0.06,2000,1
death jr root of evil,platform,eidos interactive,2008,0.11,2000,0
death note kira game,adventure,konami digital entertainment,2007,0.12,2000,0
death note l o tsugu mono,adventure,konami digital entertainment,2007,0.02,2000,0
death trap,action,avalon interactive,1982,0.17,1980,0
deathrow underground team combat,sports,ubisoft,2002,0.06,2000,0
deathsmiles,shooter,rising star games,2009,0.28,2000,0
deathsmiles ii,shooter,cave,2010,0.03,2010,1
deathtrap dungeon,action,eidos interactive,1998,0.33,1990,0
deca sports,sports,konami digital entertainment,2008,2.54,2000,0
deca sports 2,sports,hudson soft,2009,0.82,2000,1
deca sports 3,sports,hudson soft,2010,0.24,2010,1
deca sports ds,sports,hudson soft,2009,0.11,2000,0
deca sports extreme,sports,hudson soft,2011,0.12,2010,0
deca sports freedom,sports,hudson soft,2010,0.33,2010,0
decathlete,sports,sega,1994,0.3,1990,0
deception iii dark delusion,roleplaying,tecmo koei,1999,0.04,1990,1
deception iv blood ties,action,tecmo koei,2014,0.26,2010,1
deep fear,adventure,sega,1998,0.08,1990,0
deep labyrinth,action,505 games,2006,0.07,2000,0
deepak chopras leela,misc,thq,2011,0.27,2010,0
deer drive,sports,big ben interactive,2009,1.2,2000,0
deer drive legends,action,maximum family games,2012,0.03,2010,0
deer hunter,sports,atari,2003,0.28,2000,0
def jam fight for ny,fighting,electronic arts,2004,1.98,2000,0
def jam fight for ny the takeover,action,electronic arts,2006,0.09,2000,0
def jam icon,action,electronic arts,2007,0.78,2000,0
def jam rapstar,misc,konami digital entertainment,2010,0.97,2010,0
def jam vendetta,fighting,electronic arts,2003,2.19,2000,0
defcon 5,shooter,psygnosis,1995,0.07,1990,1
defender,misc,atari,1980,1.6500000000000001,1980,0
defender ii,shooter,atari,1987,0.45,1980,1
defendin de penguin,strategy,zushi games,2008,0.07,2000,0
defiance,shooter,trion worlds,2013,1.14,2010,0
delta force black hawk down,shooter,novalogic,2005,0.8,2000,0
dementium ii,shooter,southpeak games,2010,0.12,2010,1
dementium the ward,shooter,southpeak games,2007,0.17,2000,0
demigod,strategy,atari,2009,0.02,2000,0
demikids dark version,roleplaying,atlus,2002,0.02,2000,0
demikids light version,roleplaying,atlus,2002,0.02,2000,0
demolition company gold edition,simulation,unknown,2011,0.02,2010,0
demolition racer,racing,infogrames,1998,0.31,1990,0
demon attack,shooter,imagic,1981,2.13,1980,0
demon driver time to burn rubber,racing,ignition entertainment,2003,0.03,2000,0
demon gaze,roleplaying,nippon ichi software,2013,0.2,2010,0
demon gaze 2,roleplaying,experience inc,2014,0.01,2010,1
demons souls,roleplaying,namco bandai games,2009,1.84,2000,0
dengeki bunko fighting climax,fighting,sega,2014,0.33999999999999997,2010,0
dengeki gakuen rpg cross of venus,roleplaying,ascii media works,2009,0.05,2000,0
dengeki gakuen rpg cross of venus special,roleplaying,ascii media works,2011,0.01,2010,0
denki blocks,puzzle,rage software,2001,0.04,2000,0
dennou senki virtualon force,fighting,sega,2010,0.03,2010,0
densetsu no stafi,platform,nintendo,2002,0.47,2000,0
densetsu no stafi 2,platform,nintendo,2003,0.44,2000,1
densetsu no stafi 3,platform,nintendo,2004,0.24,2000,1
densetsu no stafi 4,platform,nintendo,2006,0.17,2000,1
densetsu no yuusha no densetsu legendary saga,roleplaying,kadokawa shoten,2010,0.01,2010,0
densha de go,simulation,taito,1997,1.09,1990,0
densha de go 2,simulation,taito,1999,0.41,1990,1
densha de go 3 tsuukinhen,simulation,taito,2001,0.06,2000,1
densha de go 64,simulation,taito,1999,0.12,1990,0
densha de go shinkansen ex sanyou shinkansenhen,simulation,taito,2007,0.02,2000,0
densha de go tokubetsuhen fukkatsu shouwa no yamatesen,simulation,square enix,2010,0.02,2010,0
deponia,adventure,daedalic,2012,0.15,2010,0
derby jockey 2,sports,asmik corp,1995,0.1,1990,1
derby jockey kishou e no michi,sports,asmik corp,1994,0.07,1990,0
derby stallion,sports,ascii entertainment,1997,2.1799999999999997,1990,0
derby stallion 04,sports,enterbrain,2004,0.55,2000,0
derby stallion 64,sports,media factory,2001,0.15,2000,0
derby stallion 96,sports,ascii entertainment,1996,1.05,1990,0
derby stallion 98,sports,ascii entertainment,1998,0.08,1990,0
derby stallion 99,sports,ascii entertainment,1999,1.13,1990,0
derby stallion advance,sports,enterbrain,2002,0.13,2000,0
derby stallion ds,sports,enterbrain,2008,0.32,2000,0
derby stallion gold,sports,kadokawa shoten,2014,0.14,2010,0
derby stallion ii,sports,ascii entertainment,1994,0.87,1990,1
derby stallion iii,sports,ascii entertainment,1995,1.15,1990,1
derby stallion p,sports,enterbrain,2006,0.1,2000,0
derby time 2006,sports,sony computer entertainment,2006,0.03,2000,0
derby tsuku 5 derby uma o tsukurou,sports,sega,2006,0.04,2000,1
derby tsuku derby uma o tsukurou,sports,sega,2000,0.08,2000,0
descent,shooter,interplay,1996,0.19,1990,0
descent maximum,shooter,interplay productions,1997,0.1,1990,0
desert falcon,shooter,atari,1987,0.26,1980,0
desert strike advance,simulation,electronic arts,2002,0.06,2000,0
desire,adventure,imadio,1997,0.14,1990,0
desktop tower defense,strategy,thq,2009,0.11,2000,0
despicable me the game,platform,d3publisher,2010,0.6000000000000001,2010,0
despicable me the game  minion mayhem,puzzle,d3publisher,2010,0.54,2010,0
destiny,shooter,activision,2014,12.61,2010,0
destiny links,roleplaying,namco bandai games,2009,0.01,2000,0
destiny the collection,shooter,activision,2016,0.1,2010,0
destiny the taken king,shooter,activision,2015,3.8699999999999997,2010,0
destrega,fighting,sony computer entertainment,1998,0.07,1990,0
destroy all humans,shooter,thq,2005,1.4,2000,0
destroy all humans 2,action,thq,2006,0.48,2000,1
destroy all humans big willy unleashed,action,thq,2008,0.14,2000,0
destroy all humans path of the furon,action,thq,2008,0.22,2000,0
destruction derby,racing,psygnosis,1995,0.9,1990,0
destruction derby 2,racing,psygnosis,1996,1.17,1990,1
destruction derby 64,racing,thq,1999,0.16,1990,0
destruction derby arenas,racing,sony computer entertainment,2004,0.13,2000,0
destruction derby raw,racing,sony computer entertainment,2000,0.14,2000,0
detana twinbee yahho deluxe pack,shooter,konami digital entertainment,1995,0.22,1990,0
detective barbie the mystery cruise,adventure,mattel interactive,1999,0.14,1990,0
detective conan marionette symphony,adventure,namco bandai games,2013,0.05,2010,0
detective conan phantom rhapsody,action,namco bandai games,2014,0.03,2010,0
detective conan prelude from the past,action,namco bandai games,2012,0.09,2010,0
detective jinguuji saburo ronde revenge,action,arc system works,2012,0.02,2010,0
