Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Decade,FranchiseTag,Total_Regional_Sales,Sales_Ratio
4940,dancing with the stars we dance,wii,2008,misc,activision,0.36,0.0,0.0,0.03,0.39,2000,0,0.39,1.0
4941,kengo master of bushido,ps2,2000,fighting,ubisoft,0.16,0.13,0.06,0.04,0.39,2000,0,0.39,1.0
4942,blood omen 2,ps2,2002,action,eidos interactive,0.19,0.15,0.0,0.05,0.39,2000,1,0.38999999999999996,1.0
4943,sesame street elmos atozoo adventure,wii,2010,misc,warner bros interactive entertainment,0.37,0.0,0.0,0.02,0.39,2010,0,0.39,1.0
4944,skylanders giants,wiiu,2012,action,activision,0.23,0.12,0.0,0.04,0.39,2010,0,0.38999999999999996,1.0
4945,just dance 4,wiiu,2012,misc,ubisoft,0.22,0.14,0.0,0.03,0.39,2010,1,0.39,1.0
4946,super fire prowrestling,snes,1991,fighting,human entertainment,0.0,0.0,0.39,0.0,0.39,1990,0,0.39,1.0
4947,cabelas dangerous hunts 2,ps2,2005,sports,activision,0.19,0.15,0.0,0.05,0.39,2000,1,0.38999999999999996,1.0
4948,marvel ultimate alliance,ps3,2006,roleplaying,activision,0.33,0.02,0.0,0.04,0.39,2000,0,0.39,1.0
4949,spongebob vs the big one beach party cook off,ds,2009,adventure,thq,0.24,0.11,0.0,0.04,0.39,2000,0,0.38999999999999996,1.0
4950,motogp 08,ps3,2008,racing,capcom,0.07,0.24,0.0,0.08,0.39,2000,0,0.39,1.0
4951,imagine party babyz,wii,2008,simulation,ubisoft,0.34,0.02,0.0,0.03,0.39,2000,0,0.39,1.0
4952,chessmaster,ps2,2003,misc,ubisoft,0.19,0.15,0.0,0.05,0.39,2000,0,0.38999999999999996,1.0
4953,tiger woods pga tour 14,ps3,2013,sports,electronic arts,0.16,0.15,0.0,0.07,0.39,2010,0,0.38,1.03
4954,fatal fury,snes,1992,fighting,takara,0.0,0.0,0.39,0.0,0.39,1990,0,0.39,1.0
4955,farming simulator 2013,x360,2013,simulation,focus home interactive,0.22,0.13,0.0,0.03,0.39,2010,0,0.38,1.03
4956,from tv animation one piece yume no lufy kaizokudan tanjou,gb,2001,roleplaying,banpresto,0.0,0.0,0.39,0.0,0.39,2000,0,0.39,1.0
4957,the dog island,wii,2007,adventure,ubisoft,0.35,0.01,0.0,0.03,0.39,2000,0,0.39,1.0
4958,madden nfl football,3ds,2011,sports,electronic arts,0.36,0.01,0.0,0.03,0.39,2010,0,0.4,0.97
4959,the sims 2,gba,2005,simulation,electronic arts,0.28,0.1,0.0,0.01,0.39,2000,1,0.39,1.0
4960,ice age 2 the meltdown,ps2,2006,platform,vivendi games,0.19,0.15,0.0,0.05,0.39,2000,1,0.38999999999999996,1.0
4961,mlb 14 the show,ps3,2014,sports,sony computer entertainment america,0.35,0.0,0.0,0.04,0.39,2010,0,0.38999999999999996,1.0
4962,super famista 3,snes,1994,sports,namco bandai games,0.0,0.0,0.39,0.0,0.39,1990,1,0.39,1.0
4963,auto modellista,ps2,2002,racing,capcom,0.19,0.15,0.0,0.05,0.39,2000,0,0.38999999999999996,1.0
4964,tom clancys ghost recon 2 summit strike,xb,2005,shooter,ubisoft,0.29,0.08,0.0,0.01,0.39,2000,1,0.38,1.03
4965,junior classic games,ds,2009,misc,avanquest,0.26,0.09,0.0,0.03,0.39,2000,0,0.38,1.03
4966,hooked again real motion fishing,wii,2009,sports,505 games,0.36,0.0,0.0,0.03,0.39,2000,0,0.39,1.0
4967,tiger woods pga tour 08,ps2,2007,sports,electronic arts,0.19,0.15,0.0,0.05,0.39,2000,0,0.38999999999999996,1.0
4968,karaoke revolution presents american idol encore,ps2,2008,misc,konami digital entertainment,0.19,0.15,0.0,0.05,0.39,2000,0,0.38999999999999996,1.0
4969,airlock,2600,1981,action,data age,0.36,0.02,0.0,0.0,0.39,1980,0,0.38,1.03
4970,tokimeki memorial 2,ps,1999,simulation,konami digital entertainment,0.0,0.0,0.36,0.03,0.39,1990,1,0.39,1.0
4971,samurai warriors chronicles,3ds,2011,action,tecmo koei,0.12,0.05,0.2,0.01,0.39,2010,0,0.38,1.03
4972,tomb raider legend,x360,2006,action,eidos interactive,0.27,0.08,0.01,0.03,0.39,2000,0,0.39,1.0
4973,ice age dawn of the dinosaurs,ds,2009,action,activision,0.2,0.15,0.0,0.04,0.39,2000,0,0.38999999999999996,1.0
4974,dance party pop hits,wii,2009,misc,nordic games,0.0,0.36,0.0,0.02,0.39,2000,0,0.38,1.03
4975,harry potter quidditch world cup,gba,2003,sports,electronic arts,0.28,0.1,0.0,0.01,0.39,2000,0,0.39,1.0
4976,jam sessions sing and play guitar us sales,ds,2007,misc,ubisoft,0.38,0.0,0.0,0.0,0.38,2000,0,0.38,1.0
4977,saints row iv,ps4,2015,action,deep silver,0.13,0.17,0.03,0.06,0.38,2010,1,0.39000000000000007,0.97
4978,evil dead fistfull of boomstick,ps2,2003,action,thq,0.19,0.15,0.0,0.05,0.38,2000,0,0.38999999999999996,0.97
4979,one piece unlimited world red,3ds,2013,action,namco bandai games,0.05,0.04,0.28,0.01,0.38,2010,0,0.38,1.0
4980,phantasy star ,ds,2008,roleplaying,sega,0.16,0.0,0.2,0.01,0.38,2000,0,0.37,1.03
4981,triple play 97,ps,1996,sports,electronic arts victor,0.21,0.15,0.0,0.03,0.38,1990,0,0.39,0.97
4982,virtua tennis 2009,ps3,2009,sports,sega,0.09,0.23,0.0,0.07,0.38,2000,0,0.39,0.97
4983,super soccer,snes,1991,sports,nintendo,0.0,0.0,0.38,0.0,0.38,1990,0,0.38,1.0
4984,shin megami tensei nocturne,ps2,2003,roleplaying,ghostlight,0.07,0.05,0.25,0.02,0.38,2000,0,0.39,0.97
4985,wario land ii gbc,gb,1998,platform,nintendo,0.0,0.0,0.38,0.0,0.38,1990,1,0.38,1.0
4986,san francisco rush extreme racing,ps,1997,racing,gt interactive,0.21,0.15,0.0,0.03,0.38,1990,0,0.39,0.97
4987,dragons crown,psv,2013,roleplaying,nippon ichi software,0.16,0.05,0.12,0.05,0.38,2010,0,0.38,1.0
4988,bakusou dekotora densetsu otoko ippiki yume kaidoi,ps,1998,racing,human entertainment,0.0,0.0,0.36,0.03,0.38,1990,0,0.39,0.97
4989,imagine salon stylist,ds,2009,simulation,ubisoft,0.24,0.11,0.0,0.04,0.38,2000,0,0.38999999999999996,0.97
4990,espn college hoops 2k5,xb,2004,sports,sega,0.29,0.08,0.0,0.01,0.38,2000,0,0.38,1.0
4991,looney tunes acme arsenal,ps2,2007,action,warner bros interactive entertainment,0.19,0.15,0.0,0.05,0.38,2000,0,0.38999999999999996,0.97
4992,cabelas dangerous hunts 2009,wii,2008,sports,activision value,0.36,0.0,0.0,0.03,0.38,2000,0,0.39,0.97
4993,fragile dreams farewell ruins of the moon,wii,2009,roleplaying,rising star games,0.17,0.12,0.06,0.03,0.38,2000,0,0.38,1.0
4994,sd gundam g generation spirits,ps2,2007,strategy,namco bandai games,0.0,0.0,0.38,0.0,0.38,2000,0,0.38,1.0
4995,batman arkham city,wiiu,2012,action,warner bros interactive entertainment,0.17,0.18,0.0,0.03,0.38,2010,0,0.38,1.0
4996,disney sing it,ps3,2008,misc,disney interactive studios,0.27,0.07,0.0,0.04,0.38,2000,0,0.38,1.0
4997,peppa pig the game,wii,2009,misc,pinnacle,0.0,0.35,0.0,0.03,0.38,2000,0,0.38,1.0
4998,god eater 2 rage burst,psv,2015,roleplaying,namco bandai games,0.0,0.01,0.37,0.0,0.38,2010,1,0.38,1.0
4999,get fit with mel b,ps3,2010,sports,black bean games,0.15,0.17,0.0,0.07,0.38,2010,0,0.39,0.97
5000,the cat in the hat,gba,2005,platform,jack of all games,0.27,0.1,0.0,0.01,0.38,2000,0,0.38,1.0
5001,naruto shippuden ultimate ninja heroes 3,psp,2009,fighting,namco bandai games,0.13,0.04,0.19,0.03,0.38,2000,1,0.39,0.97
5002,nfl gameday 2002,ps2,2001,sports,sony computer entertainment,0.19,0.15,0.0,0.05,0.38,2000,0,0.38999999999999996,0.97
5003,turok evolution,gc,2002,shooter,acclaim entertainment,0.3,0.08,0.0,0.01,0.38,2000,0,0.39,0.97
5004,destiny the taken king,x360,2015,shooter,activision,0.22,0.12,0.0,0.03,0.38,2010,0,0.37,1.03
5005,tamagotchi connection corner shop 3,ds,2007,simulation,atari,0.07,0.0,0.31,0.01,0.38,2000,1,0.39,0.97
5006,mobile suit gundam giren no yabou zeon dokuritsu sensouden,ps2,2002,strategy,namco bandai games,0.0,0.0,0.38,0.0,0.38,2000,0,0.38,1.0
5007,ice age,gba,2002,action,ubisoft,0.27,0.1,0.0,0.01,0.38,2000,0,0.38,1.0
5008,sega superstars tennis,ps2,2008,sports,sega,0.1,0.0,0.0,0.28,0.38,2000,0,0.38,1.0
5009,headhunter,ps2,2002,action,sega,0.19,0.15,0.0,0.05,0.38,2000,0,0.38999999999999996,0.97
5010,skate,ps3,2007,sports,electronic arts,0.29,0.05,0.0,0.04,0.38,2000,0,0.37999999999999995,1.0
5011,shin megami tensei devil summoner,sat,1995,roleplaying,atlus,0.0,0.0,0.38,0.0,0.38,1990,0,0.38,1.0
5012,raving rabbids travel in time 3d,3ds,2011,platform,ubisoft,0.11,0.23,0.0,0.04,0.38,2010,0,0.38,1.0
5013,ncaa football 08,ps3,2007,sports,electronic arts,0.35,0.0,0.0,0.03,0.38,2000,0,0.38,1.0
5014,marvel nemesis rise of the imperfects,gc,2005,fighting,electronic arts,0.3,0.08,0.0,0.01,0.38,2000,0,0.39,0.97
5015,nhl 15,ps3,2014,sports,electronic arts,0.21,0.11,0.0,0.06,0.38,2010,0,0.38,1.0
5016,espn extreme games,ps,1994,sports,sony computer entertainment,0.11,0.08,0.17,0.03,0.38,1990,0,0.39,0.97
5017,forza horizon 3,xone,2016,racing,microsoft game studios,0.15,0.2,0.0,0.03,0.38,2010,1,0.38,1.0
5018,overlord dark legend,wii,2009,action,codemasters,0.12,0.22,0.0,0.04,0.38,2000,0,0.37999999999999995,1.0
5019,ninja shadow of darkness,ps,1998,action,eidos interactive,0.21,0.14,0.0,0.02,0.38,1990,0,0.37,1.03
5020,sd gundam g generationf,ps,2000,strategy,namco bandai games,0.0,0.0,0.36,0.02,0.38,2000,0,0.38,1.0
5021,bratz rock angelz,ps2,2005,misc,thq,0.19,0.15,0.0,0.05,0.38,2000,0,0.38999999999999996,0.97
5022,flatout,ps2,2004,racing,empire interactive,0.19,0.15,0.0,0.05,0.38,2000,0,0.38999999999999996,0.97
5023,phoenix wright ace attorney  dual destinies,3ds,2013,adventure,capcom,0.0,0.0,0.38,0.0,0.38,2010,0,0.38,1.0
5024,ssx 3,gc,2003,sports,electronic arts,0.29,0.08,0.0,0.01,0.38,2000,1,0.38,1.0
5025,ncaa football 11,ps2,2010,sports,electronic arts,0.19,0.15,0.0,0.05,0.38,2010,0,0.38999999999999996,0.97
5026,tales of zestiria,ps4,2015,roleplaying,namco bandai games,0.16,0.15,0.02,0.06,0.38,2010,0,0.39,0.97
5027,lilo  stitch 2 hmsterviel havoc,gba,2004,action,disney interactive studios,0.27,0.1,0.0,0.01,0.38,2000,1,0.38,1.0
5028,metal gear solid snake eater 3d,3ds,2012,action,konami digital entertainment,0.15,0.11,0.1,0.02,0.38,2010,0,0.38,1.0
5029,risk global domination,ps2,2003,strategy,atari,0.19,0.15,0.0,0.05,0.38,2000,0,0.38999999999999996,0.97
5030,elite beat agents,ds,2006,misc,nintendo,0.31,0.03,0.0,0.03,0.38,2000,0,0.37,1.03
5031,nba 2k7,ps3,2006,sports,taketwo interactive,0.3,0.04,0.0,0.04,0.38,2000,0,0.37999999999999995,1.0
5032,mobile suit gundam version 20,ps,1996,action,namco bandai games,0.0,0.0,0.36,0.02,0.38,1990,0,0.38,1.0
5033,grandia xtreme,ps2,2002,roleplaying,enix corporation,0.07,0.05,0.25,0.02,0.38,2000,0,0.39,0.97
5034,silent scope,ps2,2000,shooter,konami digital entertainment,0.19,0.15,0.0,0.05,0.38,2000,0,0.38999999999999996,0.97
5035,final fantasy adventure,gb,1991,roleplaying,squaresoft,0.0,0.0,0.38,0.0,0.38,1990,0,0.38,1.0
5036,virtua tennis 2009,wii,2009,sports,sega,0.13,0.21,0.0,0.04,0.38,2000,0,0.37999999999999995,1.0
5037,dora the explorer dora saves the snow princess,ps2,2008,platform,taketwo interactive,0.19,0.15,0.0,0.05,0.38,2000,0,0.38999999999999996,0.97
5038,the incredible hulk,ps2,2008,action,sega,0.32,0.01,0.0,0.05,0.38,2000,0,0.38,1.0
5039,mercenaries 2 world in flames,ps2,2008,shooter,electronic arts,0.21,0.0,0.0,0.17,0.38,2000,1,0.38,1.0
5040,cabelas big game hunter 2012,wii,2011,sports,activision,0.34,0.02,0.0,0.02,0.38,2010,0,0.38000000000000006,1.0
5041,ea sports mma,ps3,2010,fighting,electronic arts,0.16,0.15,0.01,0.06,0.38,2010,0,0.38,1.0
5042,iron man 2,psp,2010,action,sega,0.18,0.12,0.0,0.07,0.38,2010,1,0.37,1.03
5043,dirt 2,wii,2009,racing,codemasters,0.11,0.23,0.0,0.04,0.38,2000,1,0.38,1.0
5044,tokimeki memorial forever with you,sat,1996,simulation,konami digital entertainment,0.0,0.0,0.38,0.0,0.38,1990,0,0.38,1.0
5045,medievil ii,ps,1999,action,sony computer entertainment,0.21,0.14,0.0,0.02,0.38,1990,1,0.37,1.03
5046,guitar hero on tour modern hits,ds,2009,misc,activision,0.13,0.2,0.0,0.04,0.38,2000,0,0.37,1.03
5047,hunter the reckoning,xb,2002,action,interplay,0.28,0.08,0.0,0.01,0.38,2000,0,0.37000000000000005,1.03
5048,mx vs atv untamed,ps2,2007,racing,thq,0.32,0.01,0.0,0.05,0.38,2000,0,0.38,1.0
5049,rogue trip vacation 2012,ps,1998,racing,gt interactive,0.21,0.14,0.0,0.02,0.38,1990,0,0.37,1.03
5050,dai4ji super robot taisen,snes,1995,strategy,banpresto,0.0,0.0,0.38,0.0,0.38,1990,0,0.38,1.0
5051,tiger woods pga tour 08,psp,2007,sports,electronic arts,0.14,0.15,0.0,0.09,0.38,2000,0,0.38,1.0
5052,pokemon channel,gc,2003,adventure,nintendo,0.24,0.06,0.07,0.01,0.38,2000,0,0.38,1.0
5053,taiko no tatsujin portable dx,psp,2011,misc,namco bandai games,0.0,0.0,0.38,0.0,0.38,2010,0,0.38,1.0
5054,etrian odyssey iv legends of the titans,3ds,2012,roleplaying,atlus,0.12,0.05,0.2,0.01,0.38,2010,1,0.38,1.0
5055,moto racer world tour,ps,2000,racing,sony computer entertainment,0.21,0.14,0.0,0.02,0.38,2000,0,0.37,1.03
5056,ncaa final four 2000,ps,1999,sports,989 sports,0.21,0.14,0.0,0.02,0.38,1990,0,0.37,1.03
5057,scribblenauts unlimited,wiiu,2012,action,warner bros interactive entertainment,0.26,0.09,0.0,0.03,0.38,2010,0,0.38,1.0
5058,fifa 17,ps3,2016,sports,electronic arts,0.02,0.29,0.01,0.05,0.38,2010,0,0.37,1.03
5059,saints row the third,pc,2011,action,thq,0.16,0.16,0.0,0.06,0.38,2010,0,0.38,1.0
5060,just dance 2015,ps4,2014,misc,ubisoft,0.19,0.13,0.0,0.06,0.38,2010,0,0.38,1.0
5061,madagascar escape 2 africa,ps2,2008,action,activision,0.12,0.0,0.0,0.26,0.38,2000,1,0.38,1.0
5062,zhuzhu pets featuring the wild bunch,wii,2010,simulation,activision,0.32,0.03,0.0,0.03,0.38,2010,0,0.38,1.0
5064,petz rescue wildlife vet,ds,2008,simulation,ubisoft,0.35,0.0,0.0,0.03,0.38,2000,0,0.38,1.0
5065,green day rock band,wii,2010,misc,mtv games,0.22,0.12,0.0,0.03,0.38,2010,0,0.37,1.03
5066,gravitar,2600,1982,action,atari,0.35,0.02,0.0,0.0,0.38,1980,0,0.37,1.03
5067,monster jam path of destruction,ds,2010,racing,activision,0.35,0.0,0.0,0.02,0.38,2010,0,0.37,1.03
5068,toukiden the age of demons,psv,2013,action,tecmo koei,0.05,0.05,0.25,0.03,0.38,2010,0,0.38,1.0
5069,eyetoy play 2,ps2,2004,misc,sony computer entertainment,0.18,0.14,0.0,0.05,0.38,2000,1,0.37,1.03
5070,dance dance revolution ultramix 3,xb,2005,simulation,konami digital entertainment,0.28,0.08,0.0,0.01,0.38,2000,1,0.37000000000000005,1.03
5071,mobile suit gundam extreme vs full boost,ps3,2014,fighting,namco bandai games,0.0,0.0,0.38,0.0,0.38,2010,0,0.38,1.0
5072,wwe smackdown vs raw 2011,ps2,2010,fighting,thq,0.24,0.07,0.0,0.07,0.38,2010,0,0.38,1.0
5073,need for speed hot pursuit,pc,2010,racing,electronic arts,0.12,0.2,0.0,0.06,0.38,2010,0,0.38,1.0
5074,the legend of spyro a new beginning,ds,2006,platform,vivendi games,0.34,0.01,0.0,0.03,0.38,2000,0,0.38,1.0
5075,pro evolution soccer 2011 3d,3ds,2011,sports,konami digital entertainment,0.11,0.13,0.11,0.02,0.38,2010,0,0.37,1.03
5076,shin megami tensei devil survivor overclocked,3ds,2011,roleplaying,ghostlight,0.28,0.01,0.06,0.02,0.38,2010,0,0.37000000000000005,1.03
5077,dragon ball z attack of the saiyans,ds,2009,roleplaying,namco bandai games,0.13,0.02,0.21,0.01,0.38,2000,0,0.37,1.03
5078,marvel super hero squad,wii,2009,fighting,thq,0.31,0.03,0.0,0.03,0.38,2000,0,0.37,1.03
5079,the house of the dead overkill  extended cut,ps3,2011,shooter,sega,0.15,0.17,0.0,0.06,0.38,2010,0,0.38,1.0
5081,harry potter and the prisoner of azkaban,gc,2004,action,electronic arts,0.29,0.08,0.0,0.01,0.38,2000,0,0.38,1.0
5082,quake 4,x360,2005,shooter,activision,0.32,0.03,0.0,0.03,0.38,2000,1,0.38,1.0
5083,petz rescue ocean patrol,ds,2008,adventure,ubisoft,0.35,0.0,0.0,0.03,0.37,2000,0,0.38,0.97
5084,solaris,2600,1986,shooter,atari,0.35,0.02,0.0,0.0,0.37,1980,0,0.37,1.0
5085,puppy palace,ds,2008,simulation,ubisoft,0.35,0.0,0.0,0.03,0.37,2000,0,0.38,0.97
5086,super dragon ball z,ps2,2006,fighting,atari,0.09,0.07,0.19,0.02,0.37,2000,0,0.37,1.0
5087,paws  claws pampered pets,ds,2009,simulation,thq,0.35,0.0,0.0,0.03,0.37,2000,0,0.38,0.97
5088,espn sports connection,wiiu,2012,sports,ubisoft,0.21,0.12,0.0,0.04,0.37,2010,0,0.36999999999999994,1.0
5089,alien isolation,ps3,2014,shooter,sega,0.12,0.19,0.0,0.07,0.37,2010,0,0.38,0.97
5090,naruto shippuden ninja destiny 2,ds,2008,fighting,takara tomy,0.19,0.03,0.13,0.02,0.37,2000,1,0.37,1.0
5091,saw,ps3,2009,action,konami digital entertainment,0.13,0.17,0.0,0.07,0.37,2000,0,0.37000000000000005,1.0
5092,the legend of spyro the eternal night,ds,2007,platform,vivendi games,0.32,0.03,0.0,0.03,0.37,2000,0,0.38,0.97
5093,tobal 2,ps,1997,fighting,squaresoft,0.0,0.0,0.35,0.02,0.37,1990,1,0.37,1.0
5094,digging for dinosaurs,ds,2010,action,scholastic inc,0.35,0.0,0.0,0.02,0.37,2010,0,0.37,1.0
5095,trivial pursuit,x360,2009,misc,electronic arts,0.12,0.21,0.0,0.04,0.37,2000,0,0.36999999999999994,1.0
5096,tiger woods pga tour 09,ps2,2008,sports,electronic arts,0.16,0.0,0.0,0.21,0.37,2000,0,0.37,1.0
5097,ultimate spiderman,gc,2005,action,activision,0.29,0.07,0.0,0.01,0.37,2000,0,0.37,1.0
5098,life is strange,ps4,2016,adventure,square enix,0.14,0.15,0.03,0.06,0.37,2010,0,0.38000000000000006,0.97
5099,kingdom under fire circle of doom,x360,2007,roleplaying,microsoft game studios,0.18,0.12,0.04,0.04,0.37,2000,0,0.37999999999999995,0.97
5100,nba inside drive 2002,xb,2002,sports,microsoft game studios,0.28,0.08,0.0,0.01,0.37,2000,0,0.37000000000000005,1.0
5101,the bigs,wii,2007,sports,taketwo interactive,0.34,0.0,0.0,0.03,0.37,2000,0,0.37,1.0
5102,major league baseball 2k6,x360,2006,sports,spike,0.34,0.0,0.0,0.03,0.37,2000,0,0.37,1.0
5103,kileak the dna imperative,ps,1994,shooter,sony computer entertainment,0.08,0.06,0.21,0.02,0.37,1990,0,0.37,1.0
5104,petz catz 2,ps2,2006,simulation,ubisoft,0.18,0.14,0.0,0.05,0.37,2000,1,0.37,1.0
5105,mini ninjas,wii,2009,action,eidos interactive,0.17,0.17,0.0,0.04,0.37,2000,0,0.38,0.97
5106,tom clancys the division,pc,2016,shooter,ubisoft,0.2,0.14,0.0,0.03,0.37,2010,0,0.37,1.0
5107,phantasy star portable 2 infinity,psp,2011,roleplaying,sega,0.0,0.0,0.37,0.0,0.37,2010,1,0.37,1.0
5108,hells kitchen the game,ds,2008,simulation,ubisoft,0.34,0.01,0.0,0.03,0.37,2000,0,0.38,0.97
5109,lego dimensions,xone,2015,action,warner bros interactive entertainment,0.21,0.13,0.0,0.03,0.37,2010,0,0.37,1.0
5110,monsters inc scream arena,gc,2002,platform,thq,0.29,0.07,0.0,0.01,0.37,2000,0,0.37,1.0
5111,reel fishing iii,ps2,2003,sports,natsume,0.18,0.14,0.0,0.05,0.37,2000,1,0.37,1.0
5112,cabelas deer hunt 2005 season,ps2,2004,sports,activision,0.18,0.14,0.0,0.05,0.37,2000,0,0.37,1.0
5113,prince of persia the forgotten sands,psp,2010,action,ubisoft,0.09,0.18,0.01,0.1,0.37,2010,0,0.38,0.97
5114,rampage total destruction,ps2,2006,action,midway games,0.18,0.14,0.0,0.05,0.37,2000,0,0.37,1.0
5115,high heat major league baseball 2003,ps2,2002,sports,3do,0.18,0.14,0.0,0.05,0.37,2000,0,0.37,1.0
5116,madden nfl 11,psp,2010,sports,electronic arts,0.35,0.0,0.0,0.03,0.37,2010,0,0.38,0.97
5117,super formation soccer 94,snes,1994,sports,human entertainment,0.0,0.0,0.37,0.0,0.37,1990,0,0.37,1.0
5118,panzer dragoon,sat,1995,shooter,sega,0.0,0.0,0.37,0.0,0.37,1990,0,0.37,1.0
5119,tiger woods pga tour 12 the masters,wii,2011,sports,electronic arts,0.21,0.13,0.0,0.03,0.37,2010,0,0.37,1.0
5120,rage,pc,2011,shooter,bethesda softworks,0.14,0.18,0.0,0.06,0.37,2010,0,0.38,0.97
5121,spiderman friend or foe,ps2,2007,action,activision,0.31,0.01,0.0,0.05,0.37,2000,0,0.37,1.0
5122,yarudora series vol1 double cast,ps,1998,adventure,sony computer entertainment,0.0,0.0,0.35,0.02,0.37,1990,0,0.37,1.0
5123,dungeon siege iii,x360,2011,roleplaying,square enix,0.21,0.12,0.01,0.03,0.37,2010,1,0.37,1.0
5124,juiced 2 hot import nights,psp,2007,racing,thq,0.06,0.2,0.0,0.11,0.37,2000,1,0.37,1.0
5125,rec room games,wii,2009,sports,destineer,0.35,0.0,0.0,0.02,0.37,2000,0,0.37,1.0
5126,fushigi no dungeon furai no shiren 2  oni shuurai shiren shiro,n64,2000,roleplaying,chunsoft,0.0,0.0,0.32,0.05,0.37,2000,1,0.37,1.0
5127,turok rage wars,n64,1999,shooter,acclaim entertainment,0.3,0.06,0.0,0.0,0.37,1990,0,0.36,1.03
5128,scoobydoo classic creep capers,n64,2000,action,thq,0.3,0.06,0.0,0.0,0.37,2000,0,0.36,1.03
5129,dragonfire,2600,1981,action,imagic,0.35,0.02,0.0,0.0,0.37,1980,0,0.37,1.0
5130,custom robo,gc,2004,roleplaying,nintendo,0.29,0.07,0.0,0.01,0.37,2000,0,0.37,1.0
5131,fifa soccer 13,psp,2012,action,electronic arts,0.05,0.19,0.02,0.1,0.37,2010,0,0.36,1.03
5132,command  conquer red alert 3 ultimate edition,ps3,2009,strategy,electronic arts,0.14,0.17,0.0,0.06,0.37,2000,1,0.37000000000000005,1.0
5133,harry potter and the order of the phoenix,psp,2007,action,electronic arts,0.1,0.17,0.0,0.1,0.37,2000,0,0.37,1.0
5134,medieval ii total war gold edition,pc,2008,strategy,sega,0.0,0.33,0.0,0.03,0.37,2000,1,0.36,1.03
5135,pacman world 2,gc,2002,action,nintendo,0.28,0.07,0.0,0.01,0.37,2000,1,0.36000000000000004,1.03
5136,kotoba no puzzle mojipittan ds,ds,2007,puzzle,namco bandai games,0.0,0.0,0.37,0.0,0.37,2000,0,0.37,1.0
5137,barbie horse adventures blue ribbon race,gba,2003,sports,knowledge adventure,0.26,0.1,0.0,0.01,0.37,2000,0,0.37,1.0
5138,bionic commando,ps3,2009,platform,capcom,0.12,0.17,0.01,0.07,0.37,2000,0,0.37000000000000005,1.0
5139,wanted weapons of fate,x360,2009,shooter,warner bros interactive entertainment,0.17,0.15,0.0,0.04,0.37,2000,0,0.36,1.03
5140,slime morimori dragon quest shougeki no shippo dan,gba,2003,adventure,square enix,0.0,0.0,0.36,0.01,0.37,2000,0,0.37,1.0
5141,dishonored,ps4,2015,action,bethesda softworks,0.11,0.18,0.02,0.06,0.37,2010,0,0.37,1.0
5142,marvel ultimate alliance,psp,2006,roleplaying,activision,0.33,0.0,0.0,0.03,0.37,2000,0,0.36,1.03
5143,nfl street 2 unleashed,psp,2005,sports,electronic arts,0.34,0.0,0.0,0.03,0.37,2000,1,0.37,1.0
5144,super robot taisen ex,snes,1994,strategy,banpresto,0.0,0.0,0.37,0.0,0.37,1990,0,0.37,1.0
5145,fifa street 2,ps2,2006,sports,electronic arts,0.17,0.13,0.02,0.04,0.37,2000,1,0.36000000000000004,1.03
5146,bottom of the 9th,n64,1999,sports,konami digital entertainment,0.37,0.0,0.0,0.0,0.37,1990,0,0.37,1.0
5147,theatrhythm final fantasy curtain call,3ds,2014,misc,square enix,0.13,0.08,0.15,0.02,0.37,2010,0,0.38,0.97
5148,trauma center under the knife,ds,2005,simulation,nintendo,0.3,0.01,0.02,0.03,0.37,2000,0,0.36,1.03
5149,shin megami tensei ii,snes,1994,roleplaying,atlus,0.0,0.0,0.37,0.0,0.37,1990,1,0.37,1.0
5150,xenosaga episode iii also sprach zarathustra,ps2,2006,roleplaying,namco bandai games,0.09,0.07,0.18,0.02,0.37,2000,1,0.36,1.03
5151,buildabear workshop a friend fur all seasons,wii,2008,simulation,game factory,0.34,0.0,0.0,0.03,0.37,2000,0,0.37,1.0
5152,sid meiers civilization beyond earth,pc,2014,strategy,taketwo interactive,0.11,0.22,0.0,0.03,0.37,2010,0,0.36,1.03
5153,need for speed the run,pc,2011,action,electronic arts,0.09,0.21,0.0,0.07,0.37,2010,0,0.37,1.0
5154,virtua fighter 3tb,dc,1998,fighting,sega,0.0,0.0,0.37,0.0,0.37,1990,0,0.37,1.0
5155,transformers dark of the moon,ps3,2011,action,activision,0.11,0.19,0.0,0.07,0.37,2010,0,0.37,1.0
5156,miniyonku gb lets  go,gb,1997,strategy,ascii entertainment,0.0,0.0,0.37,0.0,0.37,1990,0,0.37,1.0
5157,skylanders swap force,ps4,2013,platform,activision,0.2,0.12,0.0,0.05,0.37,2010,0,0.37,1.0
5158,lego batman 2 dc super heroes,psv,2012,action,warner bros interactive entertainment,0.17,0.13,0.0,0.06,0.37,2010,1,0.36000000000000004,1.03
5159,rock band 4,ps4,2015,misc,harmonix music systems,0.25,0.05,0.0,0.07,0.37,2010,1,0.37,1.0
5160,left 4 dead 2,pc,2009,shooter,valve software,0.0,0.32,0.0,0.04,0.37,2000,1,0.36,1.03
5161,the sims 2 castaway,ps2,2007,simulation,electronic arts,0.3,0.01,0.0,0.05,0.37,2000,1,0.36,1.03
5162,ncaa football 07,psp,2006,sports,electronic arts,0.34,0.0,0.0,0.03,0.37,2000,0,0.37,1.0
